Fighter,Current ELO
Colby Covington,1017
Masanori Kanehara,1017
Fabricio Werdum,1017
Deiveson Figueiredo,1017
William Knight,1017
Miles Johns,1017
Jose Aldo,1017
Junior Albini,1017
Hans Stringer,1017
Rogerio Nogueira,1017
Ilia Topuria,1017
Forrest Griffin,1017
Kevin Souza,1017
Lauren Mueller,1017
Benson Henderson,1017
Alexander Volkov,1017
Philip De Fries,1017
George Sotiropoulos,1017
Hacran Dias,1017
Keita Nakamura,1017
Sean Sherk,1017
Alptekin Ozkilic,1017
Omar Morales,1017
Jordan Johnson,1017
Lance Benoist,1017
Kyle Kingsbury,1017
Antonina Shevchenko,1017
Joe Solecki,1017
Thales Leites,1017
Gray Maynard,1017
Pat Sabatini,1017
Ryan LaFlare,1017
Ronny Markes,1017
Yves Edwards,1017
Jake Shields,1017
Derek Brunson,1017
Magomed Bibulatov,1017
SeungWoo Choi,1017
Cory McKenna,1017
Phil Hawes,1017
Kevin Aguilar,1017
Emil Meek,1017
Chris Kelades,1017
Jim Crute,1017
Shane Burgos,1017
Chris Weidman,1017
Jack Hermansson,1017
Tristan Connelly,1017
Chad Mendes,1016
Justin Ledet,1016
Naoki Inoue,1016
Junior Assuncao,1016
Chad Laprise,1016
Viviane Pereira,1016
Takeya Mizugaki,1016
Frank Camacho,1016
Jeff Hougland,1016
Leah Letson,1016
Evan Dunham,1016
Dong Hyun Kim,1016
Polo Reyes,1016
Tim Boetsch,1016
Justin Willis,1016
Jon Fitch,1016
Daichi Abe,1016
Rashad Evans,1016
Ross Pearson,1016
Zach Makovsky,1016
Danny Henry,1016
Valerie Letourneau,1016
Chris Camozzi,1016
Diego Nunes,1016
Gegard Mousasi,1016
Frankie Saenz,1016
George Sullivan,1016
Nad Narimani,1016
Iuri Alcantara,1016
Brett Johns,1016
Daniel Cormier,1016
Jonathan Brookins,1016
Tim Kennedy,1016
Rashid Magomedov,1016
Clifford Starks,1016
Demetrious Johnson,1016
John Gunther,1016
Claudia Gadelha,1016
Joseph Morales,1016
Alvaro Herrera,1016
Vladimir Matyushenko,1016
Anderson Silva,1016
Bryce Mitchell,1016
Josh Stansbury,1016
Mizuki Inoue,1016
Miguel Torres,1016
Guram Kutateladze,1016
Henry Cejudo,1016
Michael Bisping,1016
Zubaira Tukhugov,1016
Bojan Velickovic,1016
Marcos Rogerio De Lima,1016
Zak Cummings,1016
Yair Rodriguez,1016
Johny Hendricks,1016
Rony Jason,1016
Enrique Barzola,1016
Georges St-Pierre,1016
Alexandra Albu,1016
Youssef Zalel,1016
Andrew Holbrook,1016
Reginaldo Vieira,1016
Liu Pingyuan,1016
Sergey Khandozhko,1016
Marco Beltran,1016
Shamil Gamzatov,1016
Renan Barao,1016
Mirsad Bektic,1016
Da Un Jung,1016
Wang Guan,1016
Ryan Janes,1016
Buddy Roberts,1016
Cezar Ferreira,1016
Urijah Faber,1016
Jacob Volkmann,1016
Carlo Prater,1016
Arjan Bhullar,1016
Diego Rivas,1016
Drakkar Klose,1016
Weili Zhang,1016
Caludia Gadelha,1016
Joanna Jedrzejczyk,1016
Tony Kelley,1016
Brad Katona,1016
Jessin Ayari,1016
Heili Alateng,1016
Chris Cope,1016
Jeremy Kennedy,1016
Cris Cyborg,1016
Germaine de Randamie,1016
Nordine Taleb,1016
Mairbek Taisumov,1016
Leonard Garcia,1016
Tim Johnson,1016
Colton Smith,1016
Miranda Granger,1016
Michael McDonald,1016
Kyle Watson,1016
Sean Strickland,1016
Sijara Eubanks,1016
Rogerio Bontorin,1016
Marcus Brimage,1016
Julio Arce,1016
Andre Muniz,1016
Katlyn Chookagian,1016
Mark Eddiva,1016
Nick Ring,1016
Benny Alloway,1016
Nassourdine Imavov,1016
Jessamyn Duke,1016
Hugo Viana,1016
Jon Madsen,1016
Ricardo Ramos,1016
Edmen Shahbazyan,1016
Michael Trizano,1016
Gregor Gillespie,1016
Neil Magny,1016
Tim Means,1016
Royston Wee,1016
James Wilks,1016
Joshua Sampo,1016
Jeff Molina,1016
Kelvin Gastelum,1016
Karolina Kowalkiewicz,1016
Jessica Penne,1016
Efrain Escudero,1016
Martin Kampmann,1016
Cody Stamann,1016
Tecia Torres,1016
Angela Hill,1016
Ciryl Gane,1016
Michael Graves,1016
Loma Lookboonmee,1016
Chris Gruetzemacher,1016
Claudio Silva,1016
Pascal Krauss,1016
Josh Culibao,1016
Gilbert Burns,1016
Rob Kimmons,1016
Movsar Evloev,1016
Alexis Davis,1016
Masio Fullen,1016
Daron Cruickshank,1016
Joanne Calderwood,1016
Geraldo de Freitas,1016
Sarah Kaufman,1016
Jamahal Hill,1016
Mike Pierce,1016
Joaquim Silva,1016
Yui Chul Nam,1016
Adlan Amagov,1016
Aleksa Camur,1016
Ovince Saint Preux,1016
Mike Guymon,1016
Matt Hamill,1016
Joey Beltran,1016
Damir Ismagulov,1016
Gabriel Benitez,1016
Justin Salas,1016
Ben Rothwell,1016
Jared Hamman,1016
Montserrat Conejo,1016
Norman Parke,1016
Gregory Rodrigues,1016
Ruslan Magomedov,1016
Mike Wilkinson,1016
Dustin Poirier,1016
Jeremy Stephens,1016
Youssef Zalal,1016
Paddy Holohan,1016
Brad Riddell,1016
Brad Tavares,1016
Ryan Hall,1016
Jared Rosholt,1016
Andre Winner,1016
Levan Makashvili,1016
Alexandre Pantoja,1016
John Hathaway,1016
Andrew Sanchez,1016
Nik Lentz,1016
Nick Diaz,1016
